id,Nodes,Tasks/Node,Threads/Task,Runtime Program / s,Scale,Plastic,Avg. Neuron Build Time / s,Min. Edge Build Time / s,Max. Edge Build Time / s,Min. Init. Time / s,Max. Init. Time / s,Presim. Time / s,Sim. Time / s,Virt. Memory (Sum) / kB,Local Spike Counter (Sum),Average Rate (Sum),Number of Neurons,Number of Connections,Min. Delay,Max. Delay
5,1,2,4,420.42,10,true,0.29,88.12,88.18,1.14,1.20,17.26,311.52,46560664.00,825499,7.48,112500,1265738500,1.5,1.5
5,1,4,4,200.84,10,true,0.15,46.03,46.34,0.70,1.01,7.87,142.97,46903088.00,802865,7.03,112500,1265738500,1.5,1.5
5,1,2,8,202.15,10,true,0.28,47.98,48.48,0.70,1.20,7.95,142.81,47699384.00,802865,7.03,112500,1265738500,1.5,1.5
5,1,4,8,89.57,10,true,0.15,20.41,23.21,0.23,3.04,3.19,60.31,46813040.00,821491,7.23,112500,1265738500,1.5,1.5
5,2,2,4,164.16,10,true,0.20,40.03,41.09,0.52,1.58,6.08,114.88,46937216.00,802865,7.03,112500,1265738500,1.5,1.5
5,2,4,4,77.68,10,true,0.13,20.93,21.22,0.16,0.46,3.12,52.05,47362064.00,821491,7.23,112500,1265738500,1.5,1.5
5,2,2,8,79.60,10,true,0.20,21.63,21.91,0.19,0.47,2.98,53.12,46847168.00,821491,7.23,112500,1265738500,1.5,1.5
5,2,4,8,37.20,10,true,0.13,10.08,11.60,0.10,1.63,1.24,23.29,47065232.00,818198,7.33,112500,1265738500,1.5,1.5
5,3,2,4,96.51,10,true,0.15,26.54,27.41,0.36,1.22,3.33,64.28,52256880.00,813743,7.27,112500,1265738500,1.5,1.5
5,3,4,4,46.33,10,true,0.11,13.40,13.73,0.07,0.40,1.34,29.07,52833096.00,831325,7.25,112500,1265738500,1.5,1.5
5,3,2,8,46.77,10,true,0.15,14.39,14.76,0.09,0.45,1.50,29.45,50929848.00,831325,7.25,112500,1265738500,1.5,1.5
5,3,4,8,23.46,10,true,0.12,6.62,7.45,0.12,0.94,0.89,14.04,59542536.00,813536,7.19,112500,1265738500,1.5,1.5
5,4,2,4,66.58,10,true,0.13,18.86,19.65,0.16,0.95,2.35,43.38,47361344.00,821491,7.23,112500,1265738500,1.5,1.5
5,4,4,4,32.49,10,true,0.09,9.98,10.31,0.09,0.41,1.12,20.12,48081056.00,818198,7.33,112500,1265738500,1.5,1.5
5,4,2,8,34.09,10,true,0.14,10.60,10.83,0.11,0.33,1.25,20.96,47074752.00,818198,7.33,112500,1265738500,1.5,1.5
